Chibi Name,Category,Type,Rarity,GFICommand
Chibi Party Rex,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Partyrex 1 0 0
Chibi-Achatina,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Achatina 1 0 0
Chibi-Allosaurus,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Allosaurus 1 0 0
Chibi-Ammonite,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Ammonite 1 0 0
Chibi-Anglerfish,License,Chibi-Pets,Common,cheat gfi AnglerFish 1 0 0
Chibi-Animated Series Raptor,License,Chibi-Pets,Common,Cheat gfi ChibiDino_RaptorAnimatedSeries 1 0 0
Chibi-Ankylosaurus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Ankylosaurus 1 0 0
Chibi-Araneo,License,Chibi-Pets,Common,cheat gfi Araneo 1 0 0
Chibi-Archaeopteryx,License,Chibi-Pets,Common,cheat gfi ChibiDino_Archaeopteryx 1 0 0
Chibi-Argentavis,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Argent 1 0 0
Chibi-Astrocetus,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Astrocetus 1 0 0
Chibi-Astrodelphis,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Astrodelphis 1 0 0
Chibi-Baryonyx,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Baryonyx 1 0 0
Chibi-Basilisk,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Basilisk 1 0 0
Chibi-Beelzebufo,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Beelzebufo 1 0 0
Chibi-Bloodstalker,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_BogSpider 1 0 0
Chibi-Bonnet Otter,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_OtterBonnet 1 0 0
Chibi-Brontosaurus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Bronto 1 0 0
Chibi-Broodmother,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Broodmother 1 0 0
Chibi-Bulbdog,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Bulbdog 1 0 0
Chibi-Bunny,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Bunny 1 0 0
Chibi-Carbonemys,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Carbonemys 1 0 0
Chibi-Carcharodontosaurus,License,Chibi-Pets,Common,cheat gfi Carcha 1 0 0
Chibi-Carno,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Carnotaurus 1 0 0
Chibi-Castoroides,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Castroides 1 0 0
Chibi-Cnidaria,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Cnidaria 1 0 0
Chibi-Daeodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Daeodon 1 0 0
Chibi-Deal With It Dodo,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_DodoDealWithIt 1 0 0
Chibi-Dilophosaur,License,Chibi-Pets,Common,cheat gfi ChibiDino_Dilophosaur 1 0 0
Chibi-Diplodocus,License,Chibi-Pets,Common,cheat gfi Diplodocus 1 0 0
Chibi-Direbear,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Direbear 1 0 0
Chibi-Direwolf,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Direwolf 1 0 0
Chibi-Dodo,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Dodo 1 0 0
Chibi-Doedicurus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Doedicurus 1 0 0
Chibi-Dunkleosteus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Dunkleo 1 0 0
Chibi-Easter Chick,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_EasterChick 1 0 0
Chibi-Enforcer,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Enforcer 1 0 0
Chibi-Equus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Equus 1 0 0
Chibi-Featherlight,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Featherlight 1 0 0
Chibi-Ferox (Large),License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Shapeshifter_Large 1 0 0
Chibi-Ferox (Small),License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Shapeshifter_Small 1 0 0
Chibi-Festive Bulbdog,License,Chibi-Pets,Rare,cheat gfi Bulbdog_FestiveG 1 0 0
Chibi-Festive Bulbdog Red,License,Chibi-Pets,Rare,cheat gfi Bulbdog_FestiveR 1 0 0
Chibi-Festive Featherlight,License,Chibi-Pets,Rare,cheat gfi Featherlight_FestiveG 1 0 0
Chibi-Festive Featherlight Red,License,Chibi-Pets,Rare,cheat gfi Featherlight_FestiveR 1 0 0
Chibi-Festive Glowtail Green,License,Chibi-Pets,Rare,cheat gfi Glowtail_FestiveG 1 0 0
Chibi-Festive Glowtail Res,License,Chibi-Pets,Rare,cheat gfi Glowtail_FestiveR 1 0 0
Chibi-Festive Noglin,License,Chibi-Pets,Legendary,Cheat gfi Slugxmas 1 0 0
Chibi-Festive Shinehorn Green,License,Chibi-Pets,Rare,cheat gfi Shinehorn_FestiveG 1 0 0
Chibi-Festive Shinehorn Red,License,Chibi-Pets,Rare,cheat gfi Shinehorn_FestiveR 1 0 0
Chibi-Gacha Claus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_GachaClaus 1 0 0
Chibi-Gallimimus,License,Chibi-Pets,Common,cheat gfi ChibiDino_Gallimimus 1 0 0
Chibi-Gasbag,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Gasbag 1 0 0
Chibi-Ghost Basilisk,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_BasiliskGhost 1 0 0
Chibi-Ghost Direwolf,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_DirewolfGhost 1 0 0
Chibi-Ghost Mantis,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_MantisGhost 1 0 0
Chibi-Ghost Rex,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_RexGhost 1 0 0
Chibi-Giganotosaurus,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Gigant 1 0 0
Chibi-Gigantopithecus,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Gigantopithecus 1 0 0
Chibi-Gigantopithecus Chieftain,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_GigantopithecusChieftain 1 0 0
Chibi-Glowtail,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Glowtail 1 0 0
Chibi-Griffin,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Griffin 1 0 0
Chibi-Iguanodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Iguanodon 1 0 0
Chibi-Jerbunny,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_JerboaBunny 1 0 0
Chibi-Kairuku,License,Chibi-Pets,Common,cheat gfi ChibiDino_Kairuku 1 0 0
Chibi-Kaprosuchus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Kaprosuchus 1 0 0
Chibi-Karkinos,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Karkinos 1 0 0
Chibi-Kentrosaurus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Kentrosaurus 1 0 0
Chibi-Lovebird,License,Chibi-Pets,Rare,cheat gfi ChibiDino_LoveBird 1 0 0
Chibi-Lymantria,License,Chibi-Pets,Common,cheat gfi Lymantria 1 0 0
Chibi-Maewing,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Maewing 1 0 0
Chibi-Magmasaur,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Cherufe 1 0 0
Chibi-Mammoth,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Mammoth 1 0 0
Chibi-Managarmr,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_managarmr 1 0 0
Chibi-Manta,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Manta 1 0 0
Chibi-Mantis,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Mantis 1 0 0
Chibi-Megalania,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Megalania 1 0 0
Chibi-Megaloceros,License,Chibi-Pets,Common,cheat gfi ChibiDino_Megaloceros 1 0 0
Chibi-Megalodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Megalodon 1 0 0
Chibi-Megatherium,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Megatherium 1 0 0
Chibi-Mesopithecus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Mesopithecus 1 0 0
Chibi-Micro-Raptor,License,Chibi-Pets,Common,cheat gfi ChibiDino_Microraptor 1 0 0
Chibi-Mosa,License,Chibi-Pets,Uncommon,cheat gfi Mosa 1 0 0
Chibi-Moschop,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Moschops 1 0 0
Chibi-Noglin,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_BrainSlug 1 0 0
Chibi-Onychonycteris,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Onyc 1 0 0
Chibi-Otter,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Otter 1 0 0
Chibi-Oviraptor,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Oviraptor 1 0 0
Chibi-Ovis,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Sheep 1 0 0
Chibi-Paraceratherium,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Paraceratherium 1 0 0
Chibi-Parasaur,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Parasaur 1 0 0
Chibi-Pelagornis,License,Chibi-Pets,Common,cheat gfi ChibiDino_Pelagornis 1 0 0
Chibi-Phiomia,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Phiomia 1 0 0
Chibi-Phoenix,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Phoenix 1 0 0
Chibi-Plesiosaur,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Plesiosaur 1 0 0
Chibi-Procoptodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Procoptodon 1 0 0
Chibi-Pteranodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Pteranodon 1 0 0
Chibi-Pulmonoscorpius,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Pulmonoscorpius 1 0 0
Chibi-Quetz,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Quetzal 1 0 0
Chibi-Raptor,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Raptor 1 0 0
Chibi-Reaper,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Reaper 1 0 0
Chibi-Reindeer,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Reindeer 1 0 0
Chibi-Rex,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Rex 1 0 0
Chibi-Rhino,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_WoollyRhino 1 0 0
Chibi-Rock Drake,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_RockDrake 1 0 0
Chibi-Rock Golem,License,Chibi-Pets,Common,Cheat gfi ChibiDino_RockGolem 1 0 0
Chibi-Roll Rat,License,Chibi-Pets,Common,Cheat gfi ChibiDino_MoleRat 1 0 0
Chibi-Sabertooth,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Saber 1 0 0
Chibi-Sarco,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Sarco 1 0 0
Chibi-Seeker,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_Seeker 1 0 0
Chibi-Shadowmane,License,Chibi-Pets,Legendary,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Armor/Skin/ChibiDinos/PrimalItemSkin_ChibiDino_ShadowMane.PrimalItemSkin_ChibiDino_ShadowMane'"" 1 0 0"
Chibi-Shinehorn,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Shinehorn 1 0 0
Chibi-Skeletal Bronto,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Bronto_Bone 1 0 0
Chibi-Skeletal Carno,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Carnotaurus_Bone 1 0 0
Chibi-Skeletal Giga,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Gigant_Bone 1 0 0
Chibi-Skeletal Jerboa,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Jerboa_Bone 1 0 0
Chibi-Skeletal Quetzal,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Quetzal_Bone 1 0 0
Chibi-Skeletal Raptor,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Raptor_Bone 1 0 0
Chibi-Skeletal Rex,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Rex_Bone 1 0 0
Chibi-Skeletal Stego,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Stego_Bone 1 0 0
Chibi-Skeletal Trike,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Trike_Bone 1 0 0
Chibi-Skeletal Wyvern,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Wyvern_Bone 1 0 0
Chibi-Snow Owl,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_SnowOwl 1 0 0
Chibi-Spino,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Spino 1 0 0
Chibi-Spooky Bulbdog,License,Chibi-Pets,Common,cheat gfi Bulbdog_Pumpkin 1 0 0
Chibi-Spring Shinehorn,License,Chibi-Pets,Rare,cheat gfi ChibiDino_SpringShinehorn 1 0 0
Chibi-Stego,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Stego 1 0 0
Chibi-Straw Hat Otter,License,Chibi-Pets,Rare,Cheat gfi ChibiDino_OtterStrawHat 1 0 0
Chibi-Stuffed Glowtail,License,Chibi-Pets,Very Rare,cheat gfi GlowtailStuffed 1 0 0
Chibi-Tapejara,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Tapejara 1 0 0
Chibi-TEK Raptor,License,Chibi-Pets,Common,Cheat gfi ChibiDino_TekRaptor 1 0 0
Chibi-Tek Stryder,License,Chibi-Pets,Legendary,cheat gfi TekStryder 1 0 0
Chibi-Terror Bird,License,Chibi-Pets,Common,Cheat gfi ChibiDino_TerrorBird 1 0 0
Chibi-The Witching Owl,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_WitchingOwl 1 0 0
Chibi-Therizino,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Therizino 1 0 0
Chibi-Thorny Dragon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_SpineyLizard 1 0 0
Chibi-Thylacoleo,License,Chibi-Pets,Uncommon,Cheat gfi chibidino_thyla 1 0 0
Chibi-Trike,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Trike 1 0 0
Chibi-Troodon,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Troodon 1 0 0
Chibi-Tusoteuthis,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Tuso 1 0 0
Chibi-Unicorn,License,Chibi-Pets,Common,Cheat gfi chibidino_Unicorn 1 0 0
Chibi-Velonasaur,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Velonasaur 1 0 0
Chibi-Voidwyrm,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_VoidWyvern 1 0 0
Chibi-Vulture,License,Chibi-Pets,Common,cheat gfi Vulture 1 0 0
Chibi-Wyvern,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Wyvern 1 0 0
Chibi-X-Sabertooth,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_SaberX 1 0 0
Chibi-Yutyrannus,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Yutyrannus 1 0 0
Chibi-Zombie Wyvern,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Wyvern_Zombie 1 0 0
Chini-QueenBee,License,Chibi-Pets,Rare,cheat gfi ChibiDino_QueenBee 1 0 0
Pair-o-Saurs Chibi,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Pairosaurs_VDay 1 0 0
Teeny Tiny Titano,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Titano 1 0 0
White-Collar Kairuku,License,Chibi-Pets,Common,Cheat gfi ChibiDino_TopHatKairuku 1 0 0
